year,temp_mean_K,wind_speed_mean_ms,precip_total_mm,location_code,city,country,population,built_up_area_m2,gdp_ppp,hdi,pop_exposed_flood_10yr,co2_emissions_ton,ghg_emissions_ton,nox_emissions_ton,pm25_emissions_ton
1990,289.5397682648402,8.263011801723852,594.4331495180319,-33.9N_18.5E,Cape Town,South Africa,2028241.337,136652367.0,40675841.65,0.711,206.09,7212326.74189682,9070310.7892,25096.37036776,12116.04754163
1991,289.31726141552514,7.360679213792017,460.2230213682422,-33.9N_18.5E,Cape Town,South Africa,2073429.5538,138453452.2,41045690.61,0.7178,209.61,7260609.085189051,9165987.917206213,25366.9761585496,12160.3877665428
1992,289.37251252276866,8.470232466182704,650.79468160029,-33.9N_18.5E,Cape Town,South Africa,2118617.7706,140254537.4,41415539.57,0.7246,213.13,7308891.428481283,9261665.04521242,25637.5819493392,12204.7279914556
1993,289.6740924657534,7.512517814963609,572.0329842586711,-33.9N_18.5E,Cape Town,South Africa,2163805.9874,142055622.6,41785388.53,0.7313999999999999,216.65,7357173.771773513,9357342.17321863,25908.1877401288,12249.0682163684
1994,289.7757671232877,7.520716602788903,432.9215440950218,-33.9N_18.5E,Cape Town,South Africa,2208994.2042,143856707.8,42155237.49,0.7382,220.17,7405456.115065744,9453019.30122484,26178.7935309184,12293.4084412812
1995,289.49872831050226,7.917484508557803,565.99071627952,-33.9N_18.5E,Cape Town,South Africa,2254182.421,145657793.0,42525086.45,0.745,223.69,7453738.458357975,9548696.429231051,26449.399321708,12337.748666194
1996,289.2775535063752,8.159300354397523,737.7648229487484,-33.9N_18.5E,Cape Town,South Africa,2305885.8566,147756373.2,44083842.292,0.737,227.892,7502020.801650207,9644373.55723726,26720.0051124976,12382.0888911068
1997,289.4706552511415,7.877849259159733,590.0931658254583,-33.9N_18.5E,Cape Town,South Africa,2357589.2922,149854953.4,45642598.134,0.729,232.094,7550303.144942437,9740050.68524347,26990.6109032872,12426.4291160196
1998,289.5957214611872,7.7358951159677,474.59112217036,-33.9N_18.5E,Cape Town,South Africa,2409292.7278,151953533.6,47201353.976,0.721,236.296,7598585.488234668,9835727.81324968,27261.2166940768,12470.7693409324
1999,289.91309360730594,7.813030484016849,485.6239665844631,-33.9N_18.5E,Cape Town,South Africa,2460996.1634,154052113.8,48760109.818,0.713,240.498,7646867.8315269,9931404.94125589,27531.8224848664,12515.1095658452
2000,289.9951980874317,7.960987385935524,411.5898407349426,-33.9N_18.5E,Cape Town,South Africa,2512699.599,156150694.0,50318865.66,0.705,244.7,7695150.17481913,10027082.0692621,27802.428275656,12559.449790758
2001,289.7738664383561,8.164057438901066,733.3518632176999,-33.9N_18.5E,Cape Town,South Africa,2570160.4656,156671969.2,53115095.396,0.7018,250.282,8523065.088169165,10925896.7914135,33206.1997507468,13910.8012950958
2002,289.7163378995434,7.976981108344808,612.05529672906,-33.9N_18.5E,Cape Town,South Africa,2627621.3322,157193244.4,55911325.132,0.6986,255.864,9350980.001519198,11824711.5135649,38609.9712258376,15262.1527994336
2003,289.74931392694066,7.652663027841442,468.4342235615,-33.9N_18.5E,Cape Town,South Africa,2685082.1988,157714519.6,58707554.868,0.6953999999999999,261.446,10178894.914869232,12723526.2357163,44013.7427009284,16613.5043037714
2004,289.8482695810565,7.098907943171123,535.133963013182,-33.9N_18.5E,Cape Town,South Africa,2742543.0654,158235794.8,61503784.604,0.6921999999999999,267.028,11006809.828219265,13622340.9578677,49417.514176019205,17964.8558081092
2005,289.64554566210046,7.841645083710973,587.3445898441,-33.9N_18.5E,Cape Town,South Africa,2800003.932,158757070.0,64300014.34,0.689,272.61,11834724.7415693,14521155.6800191,54821.28565111,19316.207312447
2006,289.67509474885844,7.64030484384787,482.6037775585873,-33.9N_18.5E,Cape Town,South Africa,2863729.949,159348123.4,65777622.536,0.6946,278.802,11683256.37534596,14404138.15923408,56420.825818406,19455.5066071314
2007,290.0356541095891,8.123827258745457,605.3293673961,-33.9N_18.5E,Cape Town,South Africa,2927455.966,159939176.8,67255230.732,0.7001999999999999,284.994,11531788.00912262,14287120.63844906,58020.365985702,19594.8059018158
2008,289.81844945355186,8.169593119433538,740.0866319850198,-33.9N_18.5E,Cape Town,South Africa,2991181.983,160530230.2,68732838.928,0.7058,291.186,11380319.64289928,14170103.11766404,59619.906152998,19734.1051965002
2009,290.10833904109586,8.460555829878373,754.9787266429437,-33.9N_18.5E,Cape Town,South Africa,3054908.0,161121283.6,70210447.124,0.7113999999999999,297.378,11228851.27667594,14053085.59687902,61219.446320294,19873.4044911846
2010,289.5462705479452,7.849023092966802,595.6429848665,-33.9N_18.5E,Cape Town,South Africa,3118634.017,161712337.0,71688055.32,0.717,303.57,11077382.9104526,13936068.076094,62818.98648759,20012.703785869
2011,289.73872146118725,8.0603796445214,523.779408247272,-33.9N_18.5E,Cape Town,South Africa,3190082.4552,162464012.2,72308610.902,0.7242,310.85,11052466.1478931,13967586.2524926,61719.988892708,20027.177514983
2012,289.810258424408,8.208112137091883,568.1327733533719,-33.9N_18.5E,Cape Town,South Africa,3261530.8934,163215687.4,72929166.484,0.7313999999999999,318.13,11027549.3853336,13999104.4288912,60620.991297826,20041.651244097
2013,289.9757294520548,8.197177949421969,571.4787373960071,-33.9N_18.5E,Cape Town,South Africa,3332979.3316,163967362.6,73549722.066,0.7386,325.41,11002632.6227741,14030622.6052898,59521.993702944,20056.124973211
2014,290.0172945205479,7.877834708203453,570.0597908848,-33.9N_18.5E,Cape Town,South Africa,3404427.7698,164719037.8,74170277.648,0.7458,332.69,10977715.8602146,14062140.7816884,58422.996108062,20070.598702325
2015,289.8357488584475,7.605296953533006,447.0653415817551,-33.9N_18.5E,Cape Town,South Africa,3475876.208,165470713.0,74790833.23,0.753,339.97,10952799.0976551,14093658.958087,57323.99851318,20085.072431439
2016,290.1400500910747,7.813667721751201,575.1087441060535,-33.9N_18.5E,Cape Town,South Africa,3475876.208,165470713.0,74790833.23,0.753,339.97,10952799.0976551,14093658.958087,57323.99851318,20085.072431439
2017,289.8645342465753,8.207810723869311,453.388398914636,-33.9N_18.5E,Cape Town,South Africa,3475876.208,165470713.0,74790833.23,0.753,339.97,10952799.0976551,14093658.958087,57323.99851318,20085.072431439
2018,289.9545239726027,7.619548533470532,548.851407261351,-33.9N_18.5E,Cape Town,South Africa,3475876.208,165470713.0,74790833.23,0.753,339.97,10952799.0976551,14093658.958087,57323.99851318,20085.072431439
1990,299.8075582191781,2.5436120024239743,1480.318443886839,17.36N_78.5E,Hyderabad,India,5365642.813,105491828.0,15074750.53,0.624,3962.77,2000996.6307944,9156642.6048,15311.8253823999,16705.105099618
1991,300.6436757990868,2.509252094315593,859.0094812748567,17.36N_78.5E,Hyderabad,India,5488332.7436,110161848.2,15879888.024,0.6234,4405.78,2048829.55843706,9320845.79433,15707.71682930991,16966.977030618298
1992,300.5409357923497,2.373939058842363,1070.2664026379418,17.36N_78.5E,Hyderabad,India,5611022.6742,114831868.4,16685025.518,0.6228,4848.79,2096662.48607972,9485048.98386,16103.60827621992,17228.848961618598
1993,300.29064497716894,2.426146149512827,1208.7552731638957,17.36N_78.5E,Hyderabad,India,5733712.6048,119501888.6,17490163.012000002,0.6222,5291.799999999999,2144495.41372238,9649252.17339,16499.49972312993,17490.720892618898
1994,300.1027511415525,2.520690821086564,1352.577184787076,17.36N_78.5E,Hyderabad,India,5856402.5354,124171908.8,18295300.506,0.6216,5734.81,2192328.34136504,9813455.36292,16895.39117003994,17752.592823619198
1996,300.81354166666665,2.376970509158157,847.9106673994258,17.36N_78.5E,Hyderabad,India,6089202.9434,134742239.0,20456351.406,0.6204,6776.218,2287994.19665036,10141861.74198,17687.17406385996,18276.3366856198
1997,300.10108789954336,2.395441596908613,1021.9742814090158,17.36N_78.5E,Hyderabad,India,6199313.4208,140642549.0,21812264.812,0.6198,7374.616,2335827.12429302,10306064.93151,18083.065510769968,18538.2086166201
1998,300.3611997716895,2.3021126828755327,1009.916796571014,17.36N_78.5E,Hyderabad,India,6309423.8982,146542859.0,23168178.218,0.6192,7973.013999999999,2383660.05193568,10470268.12104,18478.95695767998,18800.0805476204
1999,300.1823778538813,2.512467381024787,1079.6677175189848,17.36N_78.5E,Hyderabad,India,6419534.3756,152443169.0,24524091.624,0.6186,8571.412,2431492.97957834,10634471.31057,18874.84840458999,19061.9524786207
2000,300.3415539617486,2.387054313014123,1145.8908302471707,17.36N_78.5E,Hyderabad,India,6529644.853,158343479.0,25880005.03,0.618,9169.81,2479325.907221,10798674.5001,19270.7398515,19323.824409621
2001,300.5741038812785,2.419556426970958,870.309234259673,17.36N_78.5E,Hyderabad,India,6646668.046,161699463.6,28496394.67,0.6236,9605.264,2587289.4893116,11008614.23434,19532.0787067,19684.896554578
2002,300.8923127853881,2.598396013578966,969.43246662093,17.36N_78.5E,Hyderabad,India,6763691.239,165055448.2,31112784.31,0.6292,10040.718,2695253.0714022,11218553.96858,19793.4175619,20045.968699535
2003,300.4785011415525,2.4884371153507923,1030.322511157,17.36N_78.5E,Hyderabad,India,6880714.432,168411432.8,33729173.95,0.6348,10476.172,2803216.6534928,11428493.70282,20054.7564171,20407.040844492
2004,300.45715619307833,2.450999438369156,820.5440969105,17.36N_78.5E,Hyderabad,India,6997737.625,171767417.4,36345563.59,0.6404,10911.626,2911180.2355834,11638433.43706,20316.0952723,20768.112989449
2005,300.27656278538814,2.3798535178079976,1077.9087881638002,17.36N_78.5E,Hyderabad,India,7114760.818,175123402.0,38961953.23,0.646,11347.08,3019143.817674,11848373.1713,20577.4341275,21129.185134406
2006,300.52527397260275,2.364142184637684,1049.37536908775,17.36N_78.5E,Hyderabad,India,7236498.8186,179316274.4,43182320.37,0.643,11834.288,3407338.3377352,12563447.47524,22516.98074544,22362.233285332382
2007,300.7249303652968,2.3398635119295177,1031.0630983292,17.36N_78.5E,Hyderabad,India,7358236.8192,183509146.8,47402687.51,0.64,12321.496,3795532.8577964,13278521.77918,24456.52736338,23595.28143625876
2008,300.6031158925319,2.2972877200524926,1229.6838488457695,17.36N_78.5E,Hyderabad,India,7479974.819800001,187702019.2,51623054.65,0.637,12808.704000000002,4183727.3778576,13993596.08312,26396.07398132,24828.32958718514
2009,301.3654874429224,2.3545124847556878,1016.7227011306102,17.36N_78.5E,Hyderabad,India,7601712.820400001,191894891.6,55843421.79,0.634,13295.912,4571921.8979188,14708670.38706,28335.62059926,26061.37773811152
2011,300.74659360730595,2.304222448315289,777.4065325720655,17.36N_78.5E,Hyderabad,India,7850788.5436,200370936.6,70053061.304,0.6356,14279.55,5041469.301914198,15404825.836,30575.01696088,27504.79656077792
2012,301.0058709016393,2.43520431772747,999.980029627392,17.36N_78.5E,Hyderabad,India,7978126.2662,204654109.2,80042333.678,0.6402,14775.98,5122822.185848396,15385906.981,30874.86670456,27715.16723251794
2014,300.62525570776256,2.338643918927767,990.414325349052,17.36N_78.5E,Hyderabad,India,8232801.7114,213220454.4,100020878.426,0.6494,15768.84,5285527.953716792,15348069.271,31474.56619192,28135.90857599798
2015,300.94325000000003,2.207114542144311,1153.1963926503036,17.36N_78.5E,Hyderabad,India,8360139.434,217503627.0,110010150.8,0.654,16265.27,5366880.83765099,15329150.416,31774.4159356,28346.279247738
2016,301.2732422586521,2.4266047919635043,1281.573188925829,17.36N_78.5E,Hyderabad,India,8360139.434,217503627.0,110010150.8,0.654,16265.27,5366880.83765099,15329150.416,31774.4159356,28346.279247738
2017,301.2449269406393,2.258708459508983,860.127929820043,17.36N_78.5E,Hyderabad,India,8360139.434,217503627.0,110010150.8,0.654,16265.27,5366880.83765099,15329150.416,31774.4159356,28346.279247738
2018,301.2055342465753,2.455376744658952,1033.1929675841848,17.36N_78.5E,Hyderabad,India,8360139.434,217503627.0,110010150.8,0.654,16265.27,5366880.83765099,15329150.416,31774.4159356,28346.279247738
1990,299.8882671232877,5.745178059640922,764.6482721814156,18N_283.2E,Kingston,Jamaica,591193.9493,28234938.0,68225357.4,0.673010372,282.52,2873364.2079914,3184103.12495,14333.062457985,3166.1279081
1991,299.838948630137,5.524543556521935,641.5472161200852,18N_283.2E,Kingston,Jamaica,592639.42372,28296805.0,70677442.088,0.675010372,282.82,2904457.0680305897,3218371.743815,14851.4266297646,3092.24644034
1992,299.7477345173042,5.525139472904328,595.0351473226821,18N_283.2E,Kingston,Jamaica,594084.89814,28358672.0,73129526.77600001,0.677010372,283.12,2935549.92806978,3252640.3626800003,15369.7908015442,3018.36497258
1993,299.739950913242,5.612803546280097,951.3968054054264,18N_283.2E,Kingston,Jamaica,595530.37256,28420539.0,75581611.464,0.679010372,283.42,2966642.78810897,3286908.981545,15888.1549733238,2944.48350482
1994,299.9430970319635,5.232121117175817,774.6784641335602,18N_283.2E,Kingston,Jamaica,596975.84698,28482406.0,78033696.15200001,0.681010372,283.72,2997735.64814816,3321177.60041,16406.5191451034,2870.60203706
1995,299.9325194063927,5.483941595035866,793.247866128605,18N_283.2E,Kingston,Jamaica,598421.3214,28544273.0,80485780.84,0.683010372,284.02,3028828.50818735,3355446.219275,16924.883316883,2796.7205693
1996,299.4392474954463,6.061739343797135,880.4379860439241,18N_283.2E,Kingston,Jamaica,599063.2609400001,28609894.8,79258339.822,0.682010372,283.808,3059921.36822654,3389714.83814,17443.2474886626,2722.83910154
1997,300.02537557077625,5.267866625603219,593.9966081463181,18N_283.2E,Kingston,Jamaica,599705.20048,28675516.6,78030898.804,0.681010372,283.596,3091014.2282657297,3423983.457005,17961.6116604422,2648.95763378
1998,300.26000228310505,6.057186930617315,683.344643582499,18N_283.2E,Kingston,Jamaica,600347.14002,28741138.4,76803457.786,0.680010372,283.384,3122107.08830492,3458252.07587,18479.9758322218,2575.07616602
1999,299.6745182648402,5.827708316575791,944.0731429114336,18N_283.2E,Kingston,Jamaica,600989.07956,28806760.2,75576016.768,0.679010372,283.172,3153199.94834411,3492520.694735,18998.3400040014,2501.19469826
2000,299.5633265027322,5.697266776607147,772.0529052878298,18N_283.2E,Kingston,Jamaica,601631.0191,28872382.0,74348575.75,0.678010372,282.96,3184292.8083833,3526789.3136,19516.704175781,2427.3132305
2001,299.7261506849315,6.046494149909494,717.735150024199,18N_283.2E,Kingston,Jamaica,602632.05724,28910299.6,75010212.034,0.683210787,283.112,3105460.4370395,3450761.098696,18483.8145002434,2332.964491752
2002,299.99108219178083,5.879496546480199,1123.8370527192913,18N_283.2E,Kingston,Jamaica,603633.09538,28948217.2,75671848.318,0.688411202,283.264,3026628.0656957,3374732.883792,17450.9248247058,2238.615753004
2003,300.1017488584475,5.736121837132808,706.0051486420999,18N_283.2E,Kingston,Jamaica,604634.13352,28986134.8,76333484.602,0.693611617,283.416,2947795.6943519,3298704.6688880003,16418.0351491682,2144.267014256
2004,299.84441484517305,6.2879150000770325,464.373148400801,18N_283.2E,Kingston,Jamaica,605635.17166,29024052.4,76995120.886,0.698812032,283.56800000000004,2868963.3230081,3222676.4539840003,15385.1454736306,2049.918275508
2005,299.8345878995434,5.991116675640374,1209.6736692217,18N_283.2E,Kingston,Jamaica,606636.2098,29061970.0,77656757.17,0.704012447,283.72,2790130.9516643,3146648.23908,14352.255798093,1955.56953676
2006,299.9490308219178,5.861603274254779,923.7703287365124,18N_283.2E,Kingston,Jamaica,607595.34518,29103008.0,77224922.192,0.7088049788,283.762,2587116.6648607403,2942556.9912692,13382.9316522172,1844.460132054
2007,300.0339920091324,5.884557437154367,1220.0418622538,18N_283.2E,Kingston,Jamaica,608554.4805599999,29144046.0,76793087.214,0.7135975106,283.80400000000003,2384102.37805718,2738465.7434584,12413.6075063414,1733.350727348
2008,299.89159608378867,5.990285554912713,1006.4187525310382,18N_283.2E,Kingston,Jamaica,609513.61594,29185084.0,76361252.236,0.7183900424,283.846,2181088.09125362,2534374.4956476,11444.2833604656,1622.241322642
2009,299.9085707762557,5.759616551577234,734.1397374585385,18N_283.2E,Kingston,Jamaica,610472.75132,29226122.0,75929417.258,0.7231825742,283.88800000000003,1978073.80445006,2330283.2478368003,10474.9592145898,1511.1319179359998
2010,299.7463196347032,6.145754059845832,1155.734955002185,18N_283.2E,Kingston,Jamaica,611431.8867,29267160.0,75497582.28,0.727975106,283.93,1775059.5176465,2126192.000026,9505.635068714,1400.02251323
2011,299.9161723744292,5.765003075077679,940.5950473112048,18N_283.2E,Kingston,Jamaica,610829.70744,29331053.4,74860407.1,0.7301730316,283.574,1822442.14613814,2175542.0646668,9712.3297117412,1439.498378922
2012,299.9218977686703,5.951062782429313,837.4566386354701,18N_283.2E,Kingston,Jamaica,610227.52818,29394946.8,74223231.92,0.7323709572,283.218,1869824.77462978,2224892.1293076,9919.0243547684,1478.974244614
2013,300.1889315068493,5.70871809030882,801.8013240322756,18N_283.2E,Kingston,Jamaica,609625.34892,29458840.2,73586056.74,0.7345688828,282.862,1917207.40312142,2274242.1939484,10125.7189977956,1518.450110306
2014,300.2039817351598,5.621764041851292,652.5065034743391,18N_283.2E,Kingston,Jamaica,609023.16966,29522733.6,72948881.56,0.7367668084,282.506,1964590.03161306,2323592.2585892,10332.4136408228,1557.925975998
2015,300.38738013698634,5.50602319316285,633.5482444036173,18N_283.2E,Kingston,Jamaica,608420.9904,29586627.0,72311706.38,0.738964734,282.15,2011972.6601047,2372942.32323,10539.10828385,1597.40184169
2016,300.3834653916211,6.120446360797688,678.8672101674281,18N_283.2E,Kingston,Jamaica,608420.9904,29586627.0,72311706.38,0.738964734,282.15,2011972.6601047,2372942.32323,10539.10828385,1597.40184169
2017,300.13673858447487,6.198895681103164,1221.9949156265031,18N_283.2E,Kingston,Jamaica,608420.9904,29586627.0,72311706.38,0.738964734,282.15,2011972.6601047,2372942.32323,10539.10828385,1597.40184169
2018,300.1204315068493,5.884207880988586,877.6336510240403,18N_283.2E,Kingston,Jamaica,608420.9904,29586627.0,72311706.38,0.738964734,282.15,2011972.6601047,2372942.32323,10539.10828385,1597.40184169
1990,282.74377283105025,3.2173867339265185,1465.3581987212965,40.75N_286.01E,New York City,United States,12169705.06,619121643.0,163911403.8,0.883493661,102899.94,69047826.0028237,73965275.99346,212697.843877986,30675.541579295
1991,282.6799337899544,3.100176394188254,1308.1944817567437,40.75N_286.01E,New York City,United States,12295455.604,622797164.8,167655509.06,0.886493661,104087.124,69727083.51607583,74798917.145727,212656.7376307346,30296.800640315792
1992,280.8308970856102,3.09327562046837,1305.849093188522,40.75N_286.01E,New York City,United States,12421206.148,626472686.6,171399614.32,0.889493661,105274.308,70406341.02932797,75632558.29799397,212615.6313834832,29918.05970133658
1993,281.5192705479452,3.1944325595967484,1302.998173119605,40.75N_286.01E,New York City,United States,12546956.692,630148208.4,175143719.58,0.892493661,106461.492,71085598.54258011,76466199.45026097,212574.5251362318,29539.31876235737
1994,281.36895205479453,3.2697595989597734,1437.4531223477682,40.75N_286.01E,New York City,United States,12672707.236,633823730.2,178887824.84,0.895493661,107648.676,71764856.05583225,77299840.60252796,212533.4188889804,29160.57782337816
1995,281.78635388127856,3.1149271272246657,1291.547005118213,40.75N_286.01E,New York City,United States,12798457.78,637499252.0,182631930.1,0.898493661,108835.86,72444113.5690844,78133481.75479496,212492.312641729,28781.836884398952
1996,280.953496129326,3.143717225850009,1592.7712556157728,40.75N_286.01E,New York City,United States,12923352.372,641278326.4,190612692.44,0.9004316364,110042.538,73123371.08233654,78967122.90706193,212451.2063944776,28403.09594541974
1997,280.9548367579909,3.3177036664976947,1280.044326767389,40.75N_286.01E,New York City,United States,13048246.964,645057400.8,198593454.78,0.9023696118,111249.216,73802628.59558868,79800764.05932893,212410.10014722616,28024.355006440528
1998,282.82424657534244,3.096506383593565,1228.796838584642,40.75N_286.01E,New York City,United States,13173141.556,648836475.2,206574217.12,0.9043075872,112455.894,74481886.10884082,80634405.21159592,212368.9938999748,27645.61406746132
1999,282.3004052511415,3.2344156209752564,1241.679459168766,40.75N_286.01E,New York City,United States,13298036.148,652615549.6,214554979.46,0.9062455626,113662.572,75161143.62209296,81468046.3638629,212327.88765272335,27266.87312848211
2000,280.89808060109294,3.2217658676920222,1177.6436845980743,40.75N_286.01E,New York City,United States,13422930.74,656394624.0,222535741.8,0.908183538,114869.25,75840401.1353451,82301687.5161299,212286.781405472,26888.1321895029
